product_id,carat,color,clarity,cut,price,product_url,web_certificate_url,fluorescence,polish,symmetry,table,depth,lw_ratio,web_measurements,web_sku
1320316,1.96,E,VVS1,Ideal,610,https://www.luvansh.com/product/1320316/igi-certified-1-96-e-vvs1-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG738516036,NONE,Excellent,Excellent,54.00%,62.10%,1,8.01 - 8.04 x 4.98 mm,LV-ROUNDEVVS1-738516036
2255436,2.08,D,VVS2,Ideal,610,https://www.luvansh.com/product/2255436/igi-certified-2-08-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG760591822,NONE,Excellent,Excellent,58.00%,62.20%,1.01,8.18 - 8.12 x 5.07 mm,LV-ROUNDDVVS2-760591822
2267538,2.08,D,VVS2,Ideal,610,https://www.luvansh.com/product/2267538/igi-certified-2-08-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG762533691,NONE,Excellent,Excellent,56.00%,62.30%,1,8.17 - 8.13 x 5.08 mm,LV-ROUNDDVVS2-762533691
2262743,2.08,D,VVS2,Ideal,610,https://www.luvansh.com/product/2262743/igi-certified-2-08-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG762501910,NONE,Excellent,Excellent,58.00%,61.40%,1.01,8.23 - 8.18 x 5.04 mm,LV-ROUNDDVVS2-762501910
2284374,2.09,D,VVS2,Ideal,610,https://www.luvansh.com/product/2284374/igi-certified-2-09-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG764624429,NONE,Excellent,Excellent,58.00%,61.20%,1,8.26 - 8.23 x 5.05 mm,LV-ROUNDDVVS2-764624429
2279524,2.09,D,VVS2,Ideal,610,https://www.luvansh.com/product/2279524/igi-certified-2-09-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG763658149,NONE,Excellent,Excellent,58.00%,62.10%,1,8.2 - 8.16 x 5.08 mm,LV-ROUNDDVVS2-763658149
2272368,2.09,D,VVS2,Ideal,610,https://www.luvansh.com/product/2272368/igi-certified-2-09-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG762558691,NONE,Excellent,Excellent,57.00%,62.00%,1,8.22 - 8.19 x 5.09 mm,LV-ROUNDDVVS2-762558691
2277110,2.08,D,VVS2,Ideal,610,https://www.luvansh.com/product/2277110/igi-certified-2-08-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG763618449,NONE,Excellent,Excellent,58.00%,62.10%,1,8.15 - 8.12 x 5.05 mm,LV-ROUNDDVVS2-763618449
2337797,2.08,D,VVS2,Ideal,610,https://www.luvansh.com/product/2337797/igi-certified-2-08-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG766666708,NONE,Excellent,Excellent,58.00%,62.10%,1,8.19 - 8.16 x 5.07 mm,LV-ROUNDDVVS2-766666708
2337579,2.08,D,VVS2,Ideal,610,https://www.luvansh.com/product/2337579/igi-certified-2-08-d-vvs2-round-lab-created-diamond-r,https://api.igi.org/viewpdf.php?r=LG768646043,NONE,Excellent,Excellent,57.00%,62.00%,1,8.16 - 8.15 x 5.05 mm,LV-ROUNDDVVS2-768646043
